# Checkers 10x10 game record
# rules: no_mandatory_capture, flying_kings
white_player: progressive
white_heuristic: edge
white_seed: 10007
black_player: progressive
black_heuristic: center
black_seed: 10008
iterations: 2000
max_moves: 200
winner: white
total_moves: 101
white_avg_nodes: 2003.9
black_avg_nodes: 2004.1
moves:
6,1 5,2
3,4 4,5
6,5 5,6
2,5 3,4
7,4 6,5
3,8 4,9
5,2 4,3
1,4 2,5
6,3 5,2
3,2 4,1
7,2 6,1
4,5 5,4
8,1 7,2
5,4 6,3
7,2 5,4
0,3 1,4
9,0 8,1
4,1 6,3 4,5
8,3 7,2
3,4 5,2
6,5 5,4
5,2 6,3
6,9 5,8
6,3 7,4
5,6 4,7
2,9 3,8
9,2 8,3
2,3 3,4
5,4 4,3
3,8 5,6
6,1 5,0
2,7 3,8
8,3 6,5 4,7 2,9
3,4 5,2
7,6 6,5
2,5 3,4
7,2 6,1
1,4 2,3
6,1 4,3 2,5 4,7
3,0 4,1
9,4 8,3
2,1 3,0
7,0 6,1
1,6 2,7
5,0 3,2 1,4
2,7 3,8
6,7 5,6
4,5 6,7
4,7 3,6
0,5 2,3
5,8 7,6
1,2 2,1
6,1 5,0
1,8 2,7
7,6 6,7
4,9 5,8
6,7 4,9
2,3 3,4
6,5 5,6
2,7 4,5 6,7
8,3 7,2
6,7 7,6
8,5 7,4
0,1 1,2
4,9 2,7
0,7 1,6
2,7 0,5
7,6 8,5
0,5 2,3
3,4 4,3
2,3 3,4
8,5 9,4
7,4 6,3
9,4 4,9
3,4 6,1
4,9 8,5
9,6 7,4
1,2 2,3
6,1 1,6
2,3 3,2
1,6 3,8
3,0 4,1
8,7 7,6
2,1 3,0
9,8 8,7
3,2 4,3
5,0 3,2 5,4
3,0 4,1
6,3 5,2
4,1 6,3 8,5 6,7
7,8 5,6
1,0 2,1
7,2 6,1
2,1 3,0
8,7 7,8
3,0 4,1
3,8 0,5
4,1 5,0
8,1 7,2
0,9 1,8
2,9 0,7
