name,p1,p2,iterations,p1_heuristic,p2_heuristic,games,p1_wins,p2_wins,draws,p1_win_rate,ci95_lo,ci95_hi,pvalue_binomial,n_seeds,seeds_p1_ahead,consistent_across_seeds,win_rate_threshold,win_rate_above_threshold,pvalue_below_0.05,hypothesis_holds
rave500,rave,uct,500,base,base,5,0,4,1,0.0,0.0,0.434,0.125,5,0,False,0.6,False,False,False
rave1000,rave,uct,1000,base,base,5,2,3,0,0.4,0.118,0.769,1.0,5,2,False,0.6,False,False,False
rave2000,rave,uct,2000,base,base,5,1,3,1,0.2,0.036,0.624,0.625,5,1,False,0.6,False,False,False
